Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes,Cap_kt_2021,Cap_kt_est_2022,Cap_notes
MCS2023,United States,"Smelter production, aluminum",889,860,,1640,1600,
MCS2023,Australia,"Smelter production, aluminum",1570,1500,,1720,1700,
MCS2023,Bahrain,"Smelter production, aluminum",1560,1600,,1550,1600,
MCS2023,Canada,"Smelter production, aluminum",3140,3000,,3270,3300,
MCS2023,China,"Smelter production, aluminum",38900,40000,,42300,44000,
MCS2023,Iceland,"Smelter production, aluminum",750,750,Production in 2021 is also estimated.,890,900,
MCS2023,India,"Smelter production, aluminum",3970,4000,,4060,4100,
MCS2023,Norway,"Smelter production, aluminum","1,400",1400,Production in 2021 is also estimated.,1430,1400,
MCS2023,Russia,"Smelter production, aluminum",3640,3700,,4020,4000,
MCS2023,United Arab Emirates,"Smelter production, aluminum",2540,2700,,2780,2800,
MCS2023,Other countries,"Smelter production, aluminum",9140,9100,,12300,12000,
MCS2023,World total (rounded),"Smelter production, aluminum",67500,69000,,76000,77000,
