Source,Country,Type,Prod_t_2021,Prod_t_est_2022,Prod_note,Reserves_t,Reserves_notes
MCS2023,United States,"Mine production, contained antimony",0,0,,60000,Company-reported probable reserves for the Stibnite Gold Project in Idaho.
MCS2023,Australia,"Mine production, contained antimony",4000,4000,,120000,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 22,000 tons."
MCS2023,Bolivia,"Mine production, contained antimony",2600,2500,,310000,
MCS2023,Burma,"Mine production, contained antimony",4600,4000,,140000,
MCS2023,Canada,"Mine production, contained antimony",2,2,,78000,
MCS2023,China,"Mine production, contained antimony",61000,60000,,350000,
MCS2023,Guatemala,"Mine production, contained antimony",80,80,,NA,
MCS2023,Iran,"Mine production, contained antimony",400,400,,NA,
MCS2023,Kazakhstan,"Mine production, contained antimony",100,100,,NA,
MCS2023,Kyrgyzstan,"Mine production, contained antimony",0,0,,260000,
MCS2023,Mexico,"Mine production, contained antimony",750,800,,18000,
MCS2023,Pakistan,"Mine production, contained antimony",66,70,,26000,
MCS2023,Russia (recoverable),"Mine production, contained antimony",20000,20000,,350000,
MCS2023,Tajikistan,"Mine production, contained antimony",16800,17000,,50000,
MCS2023,Turkey,"Mine production, contained antimony",1300,1300,,100000,
MCS2023,Vietnam,"Mine production, contained antimony",310,300,,NA,
MCS2023,World total (rounded),"Mine production, contained antimony",112000,110000,,NA,">1,800,000. In addition to the countries listed, antimony may have been produced in other countries but available information was inadequate to make reliable estimates of output."
