Source,Country,Type,Prod_mct_2021,Prod_mct_est_2022,Prod_notes,Reserves_mct,Reserves_notes
MCS2023,United States,"Mine production, industrial diamond",0,0,,NA,
MCS2023,Australia,"Mine production, industrial diamond",0,0,,11,"For Australia, Joint Ore Reserves Committee-compliant or equivalent reserves were 10 million carats."
MCS2023,Botswana,"Mine production, industrial diamond",7,7,,300,
MCS2023,Congo (Kinshasa),"Mine production, industrial diamond",11,11,,150,
MCS2023,Russia,"Mine production, industrial diamond",17,17,,600,
MCS2023,South Africa,"Mine production, industrial diamond",6,6,,120,
MCS2023,Zimbabwe,"Mine production, industrial diamond",4,4,,NA,
MCS2023,Other countries,"Mine production, industrial diamond",1,1,,120,
MCS2023,World total (rounded),"Mine production, industrial diamond",46,46,,1300,
