Source,Country,Type,Prod_kt_2021,Prod_kt_est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,"Mine production, feldspar",340,420,,NA,
MCS2023,Brazil,"Mine production, feldspar",491,630,"Beneficiated, marketable feldspar.",150000,
MCS2023,China,"Mine production, feldspar",2500,2400,Production in 2021 is also estimated.,130000,Reserves for China were revised based on Government reports.
MCS2023,Czechia,"Mine production, feldspar",450,460,,22000,
MCS2023,India,"Mine production, feldspar",6600,6600,Production in 2021 is also estimated.,320000,
MCS2023,Iran,"Mine production, feldspar",2000,2000,Production in 2021 is also estimated.,630000,
MCS2023,Italy,"Mine production, feldspar",2200,2200,,NA,
MCS2023,"Korea, Republic of","Mine production, feldspar",987,1000,,180000,
MCS2023,Mexico,"Mine production, feldspar",356,320,,NA,
MCS2023,Pakistan,"Mine production, feldspar",440,360,Production in 2021 is also estimated.,NA,
MCS2023,Saudi Arabia,"Mine production, feldspar",549,820,,NA,
MCS2023,Spain,"Mine production, feldspar",800,800,Includes pegmatites. Production in 2021 is also estimated.,NA,
MCS2023,Thailand,"Mine production, feldspar",1200,1300,Production in 2021 is also estimated.,220000,
MCS2023,Turkey,"Mine production, feldspar",6100,6200,,240000,
MCS2023,Other countries,"Mine production, feldspar",2610,2600,,        NA,
MCS2023,World total (rounded),"Mine production, feldspar",27600,28000,,NA,considered to be large
