Source,Country,Type,Prod_t_est_2021,Prod_t_est_2022,Prod_notes,Reserves_t,Reserves_notes
MCS2023,United States,"Mine production, iron oxide pigments",W,W,,NA,"Categorized as ""Moderate"""
MCS2023,Cyprus,"Mine production, iron oxide pigments (umber)",3100,3500,,NA,"Categorized as ""Moderate"""
MCS2023,France,"Mine production, iron oxide pigments",5000,5000,,NA,
MCS2023,Germany,"Mine production, iron oxide pigments",400000,400000,Includes natural and synthetic iron oxide pigments.,NA,"Categorized as ""Moderate"""
MCS2023,India,"Mine production, iron oxide pigments (ocher)",3000000,2700000,,37000000,
MCS2023,Italy,"Mine production, iron oxide pigments",33000,30000,,NA,
MCS2023,Pakistan,"Mine production, iron oxide pigments (ocher)",100000,100000,,NA,"Categorized as ""Large"""
MCS2023,Spain,"Mine production, iron oxide pigments (ocher and red iron oxide)",9000,9000,,NA,"Categorized as ""Large"""
MCS2023,World total (rounded),"Mine production, iron oxide pigments",NA,NA,"A significant number of other countries, including Austria, Azerbaijan, Brazil, China, Honduras, Iran, Kazakhstan, Lithuania, Paraguay, Russia, South Africa, Turkey, Ukraine, and the United Kingdom, may produce iron oxide pigments, but available information was inadequate to make reliable estimates of output.",NA,"Categorized as ""Large"""
