Source,Country,Type,Prod_kt_2021,Prod_kt_Est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,Mine production,21300,21000,,700000,
MCS2023,Algeria,Mine production,2500,2500,Production in 2021 is also estimated.,NA,
MCS2023,Brazil,Mine production,2000,2000,Production in 2021 is also estimated.,450000,
MCS2023,Canada,Mine production,2400,2400,Production in 2021 is also estimated.,450000,
MCS2023,China,Mine production,12600,13000,,1500000,
MCS2023,France,Mine production,1950,2000,,350000,
MCS2023,Germany,Mine production,5200,5200,,NA,
MCS2023,India,Mine production,4300,4300,Production in 2021 is also estimated.,37000,
MCS2023,Iran,Mine production,16000,16000,Production in 2021 is also estimated.,NA,
MCS2023,Japan,Mine production,4300,4300,Production in 2021 is also estimated.,NA,
MCS2023,Mexico,Mine production,5400,5400,Production in 2021 is also estimated.,NA,
MCS2023,Oman,Mine production,12300,12000,,NA,
MCS2023,Pakistan,Mine production,1820,1800,,6000,
MCS2023,Russia,Mine production,4100,4100,Production in 2021 is also estimated.,NA,
MCS2023,Saudi Arabia,Mine production,3990,4000,,NA,
MCS2023,Spain,Mine production,11000,11000,Production in 2021 is also estimated.,NA,
MCS2023,Thailand,Mine production,9300,9300,Production in 2021 is also estimated.,1700,
MCS2023,Turkey,Mine production,9300,9300,Production in 2021 is also estimated.,200000,
MCS2023,Uzbekistan,Mine production,2200,2200,,NA,
MCS2023,Other countries,Mine production,21000,22000,,NA,
MCS2023,World total (rounded),Mine production,153000,150000,,NA,"Categorized as ""Large"""
