Source,Country,Type,Prod_t_2021,Prod_t_est_2022,Prod_notes,Reserves_kt,Reserves_notes
MCS2023,United States,"Mine production, contained molybdenum",41100,42000,,2700,
MCS2023,Argentina,"Mine production, contained molybdenum",0,0,,100,
MCS2023,Armenia,"Mine production, contained molybdenum",7760,7800,,150,
MCS2023,Canada,"Mine production, contained molybdenum",1390,970,,72,
MCS2023,Chile,"Mine production, contained molybdenum",49400,44000,,1400,
MCS2023,China,"Mine production, contained molybdenum",95300,100000,,3700,
MCS2023,Iran,"Mine production, contained molybdenum",3100,3500,,43,
MCS2023,"Korea, Republic of","Mine production, contained molybdenum",408,400,,8,
MCS2023,Mexico,"Mine production, contained molybdenum",16300,16000,,130,
MCS2023,Mongolia,"Mine production, contained molybdenum",2970,2300,,NA,
MCS2023,Peru,"Mine production, contained molybdenum",34100,32000,,2400,
MCS2023,Russia,"Mine production, contained molybdenum","1,700",1700,Production in 2021 is also estimated.,430,
MCS2023,Turkey,"Mine production, contained molybdenum",0,0,,360,
MCS2023,Uzbekistan,"Mine production, contained molybdenum","1,600",1600,Production in 2021 is also estimated.,21,
MCS2023,World total (rounded),"Mine production, contained molybdenum",255000,250000,,12000,
