1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
,,,,,,,,,,,,,,,143135.1512275658,154266.130512468,170387.5143750971,187635.702233081,208843.0228155978,231609.6716101835,255138.3351233954,277925.9735035846,303738.4577664749,329904.061453885,355181.883171831,379416.2342233487,403091.5764327736,426844.2427810628,451003.0544340998,473691.8889485307
,,,,,,,,,,,,,,,143135.1512275658,153801.8595434567,167457.4320799284,180815.8057452319,196965.1438495138,211825.8343749855,225693.4054540937,237807.8063663765,251465.0890820369,263876.7843525034,274109.1760236597,282837.9042274987,291093.4153514341,299532.0739940337,308528.0920599257,317699.936897788
,,,,,,,,,,,,,,,143135.1512275658,152976.7906763535,167909.7029550354,183638.1373320131,202655.2929389921,222568.218868778,242718.4899149904,262626.2195143814,286025.1308129618,309511.5693478706,331753.8094782781,353275.8931325346,375617.507533142,399219.4525894278,424297.92905928,449775.846836071
,,,,,,,,,,,,,,,143135.1512275658,155215.3911965262,176435.6879209484,200864.1447955859,231699.6146581206,266216.5956521034,303063.2784812337,339134.6629842308,381314.5185500761,422795.6519986056,460310.8066486449,492471.2440815582,519576.5015706353,542624.6527286163,564477.0115315686,583537.4137472478
2476.354507,2717.192825,2993.980903,3300.599684,3655.64095,4030.810636,4401.865589,4815.684984,5266.803798,5698.873716,6104.986598,6513.869255000001,6938.950675,7380.245813,7804.973761,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,7804.973761,8124.012074,8413.24566099999,8657.197193999991,8854.45677500001,9017.483181,9136.87756600001,9202.15102900001,9213.26294599999,9178.893434000001,9106.377915,8999.413476,8858.47032800001,8682.371632999999,8474.137111,8238.814653,7979.163919
,,,,,,,,,,,,,,7804.973761,8151.645416,8496.526692000009,8816.84107100001,9110.322327,9370.884334,9593.526444000001,9773.96814399999,9915.120022000001,10018.007006,10087.997781,10125.479114,10129.68083,10103.453315,10052.324966,9979.04383899999,9884.518028999999
,,,,,,,,,,,,,,7804.973761,8174.287919,8565.789338,8961.544618000002,9360.984392999999,9737.07680300002,10093.373206,10434.441507,10770.760005,11094.131841,11406.313579,11703.830762,11987.472742,12262.506162,12533.952723,12800.281382,13058.982037
,,,,,,,,,,,,,,7804.973761,8167.212024,8546.263999,8920.448202,9286.197952,9624.709830000009,9939.516558000001,10233.976397,10513.499547,10768.949236,11001.646474,11210.018164,11395.574578,11563.790683,11720.583524,11865.38026,11994.709011
,,,,,,,,,,,,,,7804.973761,8123.722893,8412.27920199999,8655.523047,8852.42389800001,9015.496743000002,9135.393125,9201.37698499999,9213.460664,9180.52539799999,9110.103583,9006.029578,8868.76146400001,8696.93265600001,8493.23826,8262.35294,8006.621415000001
,,,,,,32950.331371,37703.992783,50712.552616,56429.533208,65776.454446,79059.156458,94083.922552,111547.434592,124204.114093,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,124204.114093,149223.915582,174421.976784,203473.444437,235532.440373,270653.426404,306440.550011,342519.62214,379875.66842,418481.88465,456578.19769,493592.06464,529005.61802,562481.0668500001,593986.27953,623451.25334,650483.96505
,,,,,,,,,,,,,,124204.114093,149223.946492,174071.62058,199923.646035,225900.73885,253137.334642,281700.247515,311753.1826,343908.60328,378120.86275,413225.06278,449104.42062,485594.60147,522887.29216,561317.29262,600977.6635200001,641654.72517
,,,,,,,,,,,,,,124204.114093,149222.485702,173670.972657,195763.415476,214097.126325,229890.619648,244479.484574,258392.18165,271794.227522,284623.679793,296334.88014,307271.67333,317678.26,327919.5712,338267.02444,348766.66347,359398.17768
,,,,,,,,,,,,,,124204.114093,149223.968702,174191.990123,200544.978334,226588.793666,252580.647345,278119.988231,303488.802611,329395.88247,355920.72009,382261.60235,408559.4307,434932.97493,461740.28346,489472.05991,518486.8394,548945.90781
,,,,,,,,,,,,,,124204.114093,149225.573452,174907.950538,208754.804299,251256.913382,301148.257955,353713.16525,409164.58698,469503.37319,535195.61448,604238.05719,675916.32672,749501.13601,824441.93934,900572.33693,977617.48874,1054732.99674
